Repo,NodeEngine,Nvmrc,TypeScript,NextJS,Supabase
analysis,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
dashboard,>=20.9.0,v20.18.0,^5.8.2,16.0.5,^2.49.4
supabase,NO_PKG_JSON,v20.18.0,MISSING,MISSING,MISSING
